batch	cell_cycle	id	species
-	ES	1CDX2.266	-
-	ES	1CDX2.316	-
-	ES	1CDX2.174	-
-	ES	1CDX2.256	-
-	ES	1CDX2.357	-
-	ES	1CDX2.233	-
-	ES	1CDX2.216	-
-	ES	1CDX2.2	-
-	ES	1CDX2.441	-
-	ES	1CDX2.337	-
-	ES	1CDX2.322	-
-	ES	1CDX2.461	-
-	ES	1CDX2.108	-
-	ES	1CDX2.255	-
-	ES	1CDX2.207	-
-	ES	1CDX2.12	-
-	ES	1CDX2.194	-
-	ES	1CDX2.191	-
-	ES	1CDX2.463	-
-	ES	1CDX2.115	-
-	ES	1CDX2.486	-
-	ES	1CDX2.244	-
-	ES	1CDX2.473	-
-	ES	1CDX2.134	-
-	ES	1CDX2.352	-
-	ES	1CDX2.452	-
-	ES	1CDX2.457	-
-	ES	1CDX2.422	-
-	ES	1CDX2.165	-
-	ES	1CDX2.403	-
-	ES	1CDX2.25	-
-	ES	1CDX2.157	-
-	ES	1CDX2.417	-
-	ES	1CDX2.376	-
-	ES	1CDX2.177	-
-	ES	1CDX2.145	-
-	ES	1CDX2.137	-
-	ES	1CDX2.472	-
-	ES	1CDX2.283	-
-	ES	1CDX2.414	-
-	ES	1CDX2.465	-
-	ES	1CDX2.206	-
-	ES	1CDX2.477	-
-	ES	1CDX2.302	-
-	ES	1CDX2.183	-
-	ES	1CDX2.107	-
-	ES	1CDX2.212	-
-	ES	1CDX2.6	-
-	ES	1CDX2.387	-
-	ES	1CDX2.141	-
-	ES	1CDX2.312	-
-	ES	1CDX2.156	-
-	ES	1CDX2.175	-
-	ES	1CDX2.44	-
-	ES	1CDX2.234	-
-	ES	1CDX2.474	-
-	ES	1CDX2.173	-
-	ES	1CDX2.454	-
-	ES	1CDX2.396	-
-	ES	1CDX2.176	-
-	ES	1CDX2.235	-
-	ES	1CDX2.426	-
-	ES	1CDX2.65	-
-	ES	1CDX2.73	-
-	ES	1CDX2.135	-
-	ES	1CDX2.294	-
-	ES	1CDX2.185	-
-	ES	1CDX2.307	-
-	ES	1CDX2.285	-
-	ES	1CDX2.106	-
-	ES	1CDX2.133	-
-	ES	1CDX2.415	-
-	ES	1CDX2.342	-
-	ES	1CDX2.487	-
-	ES	1CDX2.83	-
-	ES	1CDX2.62	-
-	ES	1CDX2.317	-
-	ES	1CDX2.217	-
-	ES	1CDX2.277	-
-	ES	1CDX2.56	-
-	ES	1CDX2.236	-
-	ES	1CDX2.402	-
-	ES	1CDX2.17	-
-	ES	1CDX2.5	-
-	ES	1CDX2.344	-
-	ES	1CDX2.154	-
-	ES	1CDX2.45	-
-	ES	1CDX2.265	-
-	ES	1CDX2.94	-
