id	batch	species	cell_line
1	ML1	human	HeLa
2	ML1	human	HAP1
3	ML1	human	HeLa
4	ML1	human	HAP1
8	ML1	human	HAP1
11	ML1	human	HAP1
13	ML1	human	HeLa
15	ML1	human	HeLa
21	ML1	human	HeLa
24	ML1	human	HeLa
28	ML1	human	HeLa
29	ML1	human	HeLa
31	ML1	human	HAP1
32	ML1	human	HAP1
35	ML1	human	HAP1
36	ML1	human	HeLa
41	ML1	human	HAP1
43	ML1	human	HeLa
48	ML1	human	HAP1
49	ML1	human	HeLa
50	ML1	human	HeLa
51	ML1	human	HAP1
52	ML1	human	HAP1
53	ML1	human	HeLa
55	ML1	human	HeLa
57	ML1	human	HeLa
64	ML1	human	HeLa
67	ML1	human	HeLa
69	ML1	human	HAP1
70	ML1	human	HeLa
71	ML1	human	HAP1
72	ML1	human	HeLa
75	ML1	human	HeLa
77	ML1	human	HeLa
78	ML1	human	HeLa
79	ML1	human	HeLa
80	ML1	human	HeLa
81	ML1	human	HeLa
83	ML1	human	HeLa
84	ML1	human	HeLa
89	ML1	human	HeLa
94	ML1	human	HeLa
95	ML1	human	HeLa
99	ML1	human	HeLa
100	ML1	human	HeLa
101	ML1	human	HAP1
102	ML1	human	HeLa
103	ML1	human	HAP1
106	ML1	human	HAP1
108	ML1	human	HeLa
109	ML1	human	HAP1
111	ML1	human	HAP1
114	ML1	human	HeLa
115	ML1	human	HeLa
121	ML1	human	HAP1
122	ML1	human	HAP1
125	ML1	human	HAP1
126	ML1	human	HAP1
127	ML1	human	HeLa
129	ML1	human	HAP1
131	ML1	human	HeLa
132	ML1	human	HeLa
134	ML1	human	HeLa
137	ML1	human	HeLa
138	ML1	human	HAP1
140	ML1	human	HAP1
142	ML1	human	HAP1
144	ML1	human	HeLa
146	ML1	human	HAP1
150	ML1	human	HeLa
152	ML1	human	HAP1
154	ML1	human	HAP1
155	ML1	human	HAP1
157	ML1	human	HAP1
158	ML1	human	HAP1
159	ML1	human	HAP1
162	ML1	human	HeLa
163	ML1	human	HeLa
165	ML1	human	HAP1
166	ML1	human	HAP1
167	ML1	human	HAP1
170	ML1	human	HeLa
172	ML1	human	HAP1
174	ML1	human	HAP1
175	ML1	human	HeLa
177	ML1	human	HAP1
178	ML1	human	HAP1
179	ML1	human	HAP1
181	ML1	human	HeLa
182	ML1	human	HeLa
184	ML1	human	HeLa
187	ML1	human	HeLa
188	ML1	human	HAP1
190	ML1	human	HeLa
193	ML1	human	HeLa
194	ML1	human	HeLa
196	ML1	human	HeLa
197	ML1	human	HAP1
199	ML1	human	HAP1
200	ML1	human	HAP1
201	ML1	human	HeLa
203	ML1	human	HeLa
204	ML1	human	HeLa
205	ML1	human	HeLa
207	ML1	human	HeLa
210	ML1	human	HeLa
211	ML1	human	HeLa
212	ML1	human	HAP1
215	ML1	human	HAP1
216	ML1	human	HeLa
217	ML1	human	HeLa
221	ML1	human	HeLa
223	ML1	human	HAP1
224	ML1	human	HeLa
227	ML1	human	HAP1
228	ML1	human	HAP1
233	ML1	human	HeLa
236	ML1	human	HAP1
237	ML1	human	HAP1
239	ML1	human	HAP1
241	ML1	human	HeLa
242	ML1	human	HAP1
243	ML1	human	HAP1
244	ML1	human	HeLa
246	ML1	human	HAP1
248	ML1	human	HeLa
249	ML1	human	HAP1
253	ML1	human	HAP1
